complex_name,province,land_price,complex_group
GW일반산업단지,울산,0,일반
I-Food Park일반산업단지,인천,939394,일반
KCC울산일반산업단지,울산,260224,일반
가평목동일반산업단지,경기,44700,일반
강릉과학일반산업단지,강원,82700,일반
강릉중소일반산업단지,강원,23958,일반
강진환경산업단지,전남,93761,일반
강화일반산업단지,인천,296697,일반
강화하점일반산업단지,인천,70000,일반
거제모사일반산업단지,경남,0,일반
거제오비일반산업단지,경남,379473,일반
거창일반산업단지,경남,91000,일반
경북바이오일반산업단지,경북,96000,일반
경산제1일반산업단지,경북,90600,일반
경산제2일반산업단지,경북,136390,일반
경산제3일반산업단지,경북,160606,일반
경주강동일반산업단지,경북,181500,일반
경주건천용명일반산업단지,경북,192659,일반
경주건천제1일반산업단지,경북,67000,일반
경주건천제2일반산업단지,경북,172000,일반
경주검단일반산업단지,경북,0,일반
경주구어제2일반산업단지,경북,255778,일반
경주녹동일반산업단지,경북,224351,일반
경주모화일반산업단지,경북,257330,일반
경주문산일반산업단지,경북,262695,일반
경주문산제2일반산업단지,경북,254071,일반
경주석계일반산업단지,경북,72000,일반
경주석계제2일반산업단지,경북,209000,일반
경주석계제4일반산업단지,경북,292140,일반
경주외동일반산업단지,경북,67000,일반
경주외동제2일반산업단지,경북,146134,일반
경주제내제2일반산업단지,경북,192236,일반
경주천북일반산업단지,경북,186000,일반
경주천북제2일반산업단지,경북,175223,일반
경주화산일반산업단지,경북,60000,일반
계룡제1산업단지,충남,257050,일반
고덕국제화계획지구일반산업단지,경기,499620,일반
고령개진일반산업단지,경북,88000,일반
고령제1일반산업단지,경북,64000,일반
고령제2일반산업단지,경북,121680,일반
고성내산일반산업단지,경남,0,일반
고성대가룡일반산업단지,경남,0,일반
고성대독일반산업단지,경남,0,일반
고성율대일반산업단지,경남,191351,일반
고성장좌일반산업단지,경남,0,일반
고창일반산업단지,전북,78000,일반
공주유구자카드일반산업단지,충남,69601,일반
공주탄천일반산업단지,충남,132624,일반
관리일반산업단지,경기,0,일반
광명일반산업단지,경북,263600,일반
광양세풍일반산업단지,전남,257100,일반
광양신금일반산업단지,전남,298568,일반
광양익신일반산업단지,전남,241000,일반
광양황금일반산업단지,전남,257130,일반
광주본촌일반산업단지,광주,14820,일반
광주소촌일반산업단지,광주,20872,일반
광주송암일반산업단지,광주,16330,일반
광주첨단과학국가산업단지,광주,153980,국가
광주평동3차일반산업단지,광주,336998,일반
광주평동일반산업단지,광주,196630,일반
광주하남일반산업단지,광주,50214,일반
괴산대제일반산업단지,충북,118770,일반
괴산유기식품일반산업단지,충북,108838,일반
괴산첨단산업단지,충북,169700,일반
구미국가산업단지,경북,151288,국가
국가식품클러스터국가산업단지,전북,151288,국가
국가식품클러스터식품산업단지중소협력단지형외국인투자지역,전북,0,국가
군산2국가산업단지,전북,113467,국가
군산국가산업단지,전북,58794,국가
군산일반산업단지,전북,88000,일반
기장기룡제1일반산업단지,부산,814000,일반
기장기룡제2일반산업단지,부산,0,일반
기장명례일반산업단지,부산,348500,일반
기장에코장안일반산업단지,부산,514185,일반
기장장안일반산업단지,부산,293240,일반
기장정관일반산업단지,부산,235893,일반
김제순동일반산업단지,전북,48000,일반
김제지평선일반산업단지,전북,120395,일반
김천제1일반산업단지,경북,102279,일반
김포상마일반산업단지,경기,154545,일반
김포양촌일반산업단지,경기,612121,일반
김포율생일반산업단지,경기,167000,일반
김포통진일반산업단지,경기,0,일반
김포학운2일반산업단지,경기,652727,일반
김포학운3일반산업단지,경기,745454,일반
김포학운4일반산업단지,경기,669696,일반
김포학운일반산업단지,경기,42730,일반
김포항공일반산업단지,경기,0,일반
김해GoldenRoot일반산업단지,경남,528000,일반
김해덕암일반산업단지,경남,151000,일반
김해명동일반산업단지,경남,515000,일반
김해오척일반산업단지,경남,0,일반
김해이노비즈벨리일반산업단지,경남,530200,일반
김해진영주호일반산업단지,경남,503960,일반
김해테크노밸리일반산업단지,경남,522000,일반
나주문평일반산업단지,전남,10831,일반
나주신도일반산업단지,전남,216300,일반
나주일반산업단지,전남,125000,일반
나주혁신일반산업단지,전남,190000,일반
남공주일반산업단지,충남,217177,일반
남동국가산업단지,인천,93894,국가
남양주광릉테크노밸리일반산업단지,경기,641498,일반
남양주금곡일반산업단지,경기,515795,일반
남양주진관일반산업단지,경기,769270,일반
남여주일반산업단지,경기,292941,일반
남원일반산업단지,전북,98530,일반
남춘천일반산업단지,강원,233400,일반
논산동산일반산업단지,충남,142175,일반
