complex_name,status,completion_date,avg_price,industry_type,management,land_size,complex_group,website_url
GW일반산업단지,분양중,2022-10-20,0,"섬유제품, 목재 및 나무제품, 펄프·종이 및 종이제품, 고무제품 및 플라스틱제품, 비금속광물제품, 1차금속, 금속가공제품, 전기장비, 기타 기계 및 장비, 자동차 및 트레일러, 기타 운송장비, 가구 제조업, 인쇄 및 기록매체 복제업, 창고 및 운송관련 서비스업, 태양력발전업, 부동산입대업 (*상세내용 고시문참조)",울산도시공사,453993,일반,https://blog.naver.com/jackpotman_/223570692332
I-Food Park일반산업단지,분양중,-,939394,"식료품 제조업, 음료 제조업, 창고 및 운송관련 서비스업( *제한하는 업종은 고시문 참조바람)",인천광역시청,282899,일반,https://ko.wikipedia.org/wiki/%EC%82%B0%EC%97%85%EB%8B%A8%EC%A7%80
KCC울산일반산업단지,분양중,2022-11-17,260224,"기타운송장비, 자동차 및 트레일러, 기타 기계 및 장비, 전기장비, 비금속광물제품, 펄프·종이및종이제품,금속가공제품,식료품,기타무선통신장비,레이더·항행용무선기기 및 측량기구,물질검사· 측정 및 분석기구,속도계 및 적산계기, 기기용자동측정 및 제어장치,제조업, 창고 및 운송관련 서비스업, 기타발전업(태양광발전업에 한함)",울산도시공사,1164511,일반,https://terms.naver.com/entry.naver?docId=5787714&cid=64865&categoryId=65354
가평목동일반산업단지,분양완료,1999-06-04,44700,도시형공장,경기_가평군,59500,일반,https://terms.naver.com/entry.naver?docId=6445359&cid=68119&categoryId=68197
강릉과학일반산업단지,분양중,2015-12-16,82700,"신소재, 해양생물·천연물, 교육연구, 정보·문화, 녹색산업, 물류유통",강원_강릉시,1486850,일반,https://namu.wiki/w/%EA%B0%95%EB%A6%89%EA%B3%BC%ED%95%99%EC%9D%BC%EB%B0%98%EC%82%B0%EC%97%85%EB%8B%A8%EC%A7%80
강릉중소일반산업단지,분양완료,1983-11-30,23958,"목재및나무제품제조업,비금속광물제품제조업,조립금속제품제조업,가구및기타제조업",강원_강릉시,163745,일반,https://terms.naver.com/entry.naver?docId=6032386&cid=43667&categoryId=43667
강진환경산업단지,분양중,2018-02-01,93761,"금속가공,기타기계및장비,전자부품·컴퓨터·영상·음향및통신,전기장비,식료품,음료,종이 제조업,전기·가스·증기및공기조절공급업,폐기물수집운반,창고및운송관련서비스업",전남_강진군,655267,일반,http://www.gjdaily.net/news/articleView.html?idxno=7824
강화일반산업단지,분양중,2018-07-30,296697,"화학물질및화학제품,고무및플리스틱제품,1차금속,금속가공제품,기타기계및장비,기타제품,전자부품·컴퓨터·영상·음향및통신장비,의료·정밀·광학기기및시계,전기장비,기타운송장비 제조업 등",강화일반산업단지관리공단,461515,일반,http://www.m-economynews.com/news/article.html?no=14779
강화하점일반산업단지,분양완료,1994-08-06,70000,"전제조업(단,용수다소비업종,특정유해불질배출사업장,공단부적격업종은제외)",인천_강화군,58688,일반,https://blog.naver.com/signatureclean/222267167941
거제모사일반산업단지,분양완료,-,0,"금속가공제품 제조업, 기타운송장비 제조업",경상남도,633887,일반,https://blog.naver.com/signatureclean/222529602625
