complex_name,latitude,longitude
GW일반산업단지,35.4283005,129.2154003
I-Food Park일반산업단지,37.6132247,126.632494
KCC울산일반산업단지,35.7047347,129.1943274
가평목동일반산업단지,37.8943505,127.558337
강릉과학일반산업단지,37.796346,128.8550202
강릉중소일반산업단지,37.7679055,128.9247954
강진환경산업단지,34.6789339,126.7449499
강화일반산업단지,37.7634071,126.5039747
강화하점일반산업단지,37.7688873,126.4384253
거제모사일반산업단지,34.9410142,128.5959781
거제오비일반산업단지,34.9175129,128.6189774
거창일반산업단지,35.6508623,127.9262262
경북바이오일반산업단지,36.5959604,128.5463774
경산제1일반산업단지,35.8667219,128.8233352
경산제2일반산업단지,35.826347,128.821584
경산제3일반산업단지,35.8603647,128.8219343
경주강동일반산업단지,35.9630069,129.3085901
경주건천용명일반산업단지,35.8740844,129.0865256
경주건천제1일반산업단지,35.8632511,129.1133142
경주건천제2일반산업단지,35.8736926,129.1043355
경주검단일반산업단지,35.9200072,129.1955577
경주구어제2일반산업단지,35.7030719,129.296028
경주녹동일반산업단지,35.6576138,129.2903181
경주모화일반산업단지,35.6864163,129.3248969
경주문산일반산업단지,35.6662504,129.316153
경주문산제2일반산업단지,35.670265,129.3039047
경주석계일반산업단지,35.6619372,129.306244
경주석계제2일반산업단지,35.6650089,129.3052844
경주석계제4일반산업단지,35.6846578,129.310307
경주외동일반산업단지,35.6710324,129.3278912
경주외동제2일반산업단지,35.6694532,129.3166079
경주제내제2일반산업단지,35.7021672,129.2690344
경주천북일반산업단지,35.9495324,129.2633562
경주천북제2일반산업단지,35.9216311,129.2648487
경주화산일반산업단지,35.9320793,129.2702099
계룡제1산업단지,36.2492024,127.2712272
고덕국제화계획지구일반산업단지,37.0262501,127.0515786
고령개진일반산업단지,35.7177243,128.3104894
고령제1일반산업단지,35.7892992,128.3895163
고령제2일반산업단지,35.7956162,128.3737454
고성내산일반산업단지,35.0489917,128.4762532
고성대가룡일반산업단지,35.0118603,128.4830314
고성대독일반산업단지,34.9657319,128.307872
고성율대일반산업단지,34.9605529,128.3498481
고성장좌일반산업단지,34.9936593,128.4617264
