complex_name,food,clothing,wood,petrochemical,non_metal,metal,machinery,electronics,trans,other,non_manu,complex_group
광주첨단과학국가산업단지,0,0.000646412,0,0.013574661,0.00258565,0.001292825,0.094376212,0.296056884,0.012928248,0,0.578539108,국가
반월국가산업단지,0.012321283,0.048122748,0.039637336,0.082645589,0.003022202,0.023828897,0.362780425,0.357549692,0.033244217,0.013716146,0.023131466,국가
구미국가산업단지,0.006404392,0.056267155,0.020128088,0.1084172,0.019213175,0.015553522,0.416285453,0.310612992,0.016010979,0.004574565,0.026532479,국가
시화국가산업단지,0.005149982,0.016714854,0.021232382,0.065323455,0.00316227,0.059902421,0.599837369,0.16127575,0.036863029,0.013913986,0.016624503,국가
익산국가산업단지,0.013215859,0.149779736,0.008810573,0.088105727,0.017621145,0,0.04845815,0.140969163,0.039647577,0.475770925,0.017621145,국가
국가식품클러스터국가산업단지,0.93814433,0,0.010309278,0.030927835,0,0,0,0,0,0,0.020618557,국가
서울디지털국가산업단지,0.004350866,0.033408438,0.014684174,0.020744309,0.001165411,0.000854634,0.040400901,0.162380545,0.002641597,0.013829539,0.705539585,국가
국가식품클러스터식품산업단지중소협력단지형외국인투자지역,1,0,0,0,0,0,0,0,0,0,0,국가
군산2국가산업단지,0.025490196,0.007843137,0.056862745,0.156862745,0.037254902,0.056862745,0.407843137,0.033333333,0.139215686,0.017647059,0.060784314,국가
군산국가산업단지,0.032432432,0.016216216,0.021621622,0.151351351,0.016216216,0.021621622,0.275675676,0.081081081,0.264864865,0.027027027,0.091891892,국가
남동국가산업단지,0.030140919,0.023877871,0.042536534,0.114300626,0.00782881,0.024530271,0.496868476,0.176278706,0.029749478,0.0309238,0.022964509,국가
대구국가산업단지,0,0,0,0.010810811,0.010810811,0,0.32972973,0.189189189,0.351351351,0,0.108108108,국가
대불국가산업단지,0.036065574,0.003278689,0.003278689,0.059016393,0.062295082,0.016393443,0.285245902,0.016393443,0.468852459,0.016393443,0.032786885,국가
명지녹산국가산업단지,0.027713626,0.066204773,0.053887606,0.107005389,0.012317167,0.077752117,0.455735181,0.042340262,0.102386451,0.008468052,0.046189376,국가
대불외국인투자지역,0.041666667,0,0,0,0,0,0.25,0,0.666666667,0,0.041666667,국가
동두천국가산업단지,0,0,0,0,0,0,0,0,0,0,0,국가
밀양나노융합국가산업단지,0.666666667,0,0,0,0,0,0,0,0,0,0.333333333,국가
창원국가산업단지,0.001878993,0.00263059,0.016159339,0.01578354,0.001878993,0.028184893,0.548290116,0.210071402,0.090567456,0.008643367,0.075911312,국가
북평국가산업단지,0.060606061,0,0.03030303,0,0.060606061,0,0.575757576,0.03030303,0,0.03030303,0.212121212,국가
빛그린국가산업단지,0,0,0.017857143,0.142857143,0,0,0.339285714,0.178571429,0.196428571,0,0.125,국가
여수국가산업단지,0.007326007,0.003663004,0.014652015,0.443223443,0.036630037,0.014652015,0.271062271,0.021978022,0,0.029304029,0.157509158,국가
온산국가산업단지,0.00591716,0,0.00591716,0.322485207,0.017751479,0.068047337,0.139053254,0.020710059,0.139053254,0.00591716,0.275147929,국가
울산미포국가산업단지,0.012158055,0.013677812,0.018237082,0.262917933,0.013677812,0.022796353,0.290273556,0.135258359,0.167173252,0.006079027,0.05775076,국가
한국수출산업(부평)국가산업단지,0.01490889,0.052457206,0.030369961,0.066813915,0.001656543,0.007178355,0.23743788,0.321369409,0.01490889,0.046383214,0.206515737,국가
한국수출산업(주안)국가산업단지,0.028443114,0.024700599,0.030688623,0.086826347,0.002245509,0.011976048,0.285179641,0.273952096,0.020958084,0.050149701,0.18488024,국가
석문국가산업단지,0,0,0,0.227272727,0.090909091,0.181818182,0.375,0.011363636,0.068181818,0,0.045454545,국가
포항블루밸리국가산업단지,0,0,0,0,0.375,0.25,0,0.375,0,0,0,국가
파주탄현중소기업전용국가산업단지,0.044444444,0.044444444,0.022222222,0.288888889,0,0.022222222,0.355555556,0.177777778,0.022222222,0,0.022222222,국가
장항국가생태산업단지,0.294117647,0,0,0.294117647,0,0.058823529,0.117647059,0.058823529,0.058823529,0,0.117647059,국가
오송생명과학단지,0.047619048,0,0,0.698412698,0,0,0,0.238095238,0,0,0.015873016,국가
안정국가산업단지,0,0,0,0,0,0,0.222222222,0,0.666666667,0,0.111111111,국가
진해국가산업단지,0,0,0,0,0,0,0,0,1,0,0,국가
아산국가산업단지,0.029649596,0.005390836,0.016172507,0.148247978,0.016172507,0.148247978,0.266846361,0.051212938,0.129380054,0,0.188679245,국가
포항국가산업단지,0,0,0,0.132075472,0.122641509,0.320754717,0.122641509,0.037735849,0.018867925,0.160377358,0.08490566,국가
GW일반산업단지,0,0.025641026,0.102564103,0.051282051,0,0.051282051,0.333333333,0.025641026,0.333333333,0.025641026,0.051282051,일반
I-Food Park일반산업단지,0.988235294,0,0,0,0,0,0,0,0,0,0.011764706,일반
KCC울산일반산업단지,0.018518519,0,0.055555556,0,0.092592593,0,0.222222222,0.12962963,0.166666667,0,0.314814815,일반
가평목동일반산업단지,0.272727273,0,0,0.181818182,0,0,0.272727273,0.272727273,0,0,0,일반
강릉과학일반산업단지,0.24,0.008,0,0.272,0.16,0.008,0.08,0.12,0.016,0.008,0.088,일반
