complex_name,highway_score,port_score,train_score,airport_score,final_score,complex_group
광주첨단과학국가산업단지,2,1,1,4,1.9,국가
반월국가산업단지,2,1,1,3,1.7,국가
구미국가산업단지,1,1,2,2,1.5,국가
시화국가산업단지,4,1,1,3,2.3,국가
익산국가산업단지,3,1,3,2,2.4,국가
국가식품클러스터국가산업단지,2,1,1,2,1.5,국가
서울디지털국가산업단지,4,1,3,3,2.9,국가
국가식품클러스터식품산업단지중소협력단지형외국인투자지역,2,1,1,2,1.5,국가
군산2국가산업단지,3,4,1,3,2.6,국가
군산국가산업단지,3,5,1,1,2.4,국가
남동국가산업단지,4,3,1,3,2.7,국가
대구국가산업단지,5,1,1,2,2.4,국가
대불국가산업단지,3,3,3,2,2.8,국가
명지녹산국가산업단지,3,3,1,4,2.6,국가
대불외국인투자지역,3,3,3,2,2.8,국가
동두천국가산업단지,3,1,1,2,1.8,국가
밀양나노융합국가산업단지,2,1,1,2,1.5,국가
창원국가산업단지,3,2,5,1,3,국가
북평국가산업단지,3,5,3,1,3,국가
빛그린국가산업단지,3,1,1,1,1.6,국가
여수국가산업단지,3,2,2,3,2.5,국가
온산국가산업단지,3,4,4,3,3.5,국가
울산미포국가산업단지,3,3,2,4,2.9,국가
한국수출산업(부평)국가산업단지,4,2,1,4,2.7,국가
한국수출산업(주안)국가산업단지,4,2,1,3,2.5,국가
석문국가산업단지,3,1,1,1,1.6,국가
포항블루밸리국가산업단지,3,1,1,1,1.6,국가
파주탄현중소기업전용국가산업단지,3,1,1,2,1.8,국가
장항국가생태산업단지,3,2,2,2,2.3,국가
오송생명과학단지,2,1,3,3,2.3,국가
안정국가산업단지,2,1,1,2,1.5,국가
진해국가산업단지,2,2,2,2,2,국가
아산국가산업단지,1,3,1,1,1.4,국가
포항국가산업단지,3,1,2,5,2.7,국가
GW일반산업단지,2,2,2,2,2,일반
I-Food Park일반산업단지,4,2,2,2,2.6,일반
KCC울산일반산업단지,3,2,2,2,2.3,일반
가평목동일반산업단지,2,2,2,2,2,일반
강릉과학일반산업단지,2,3,3,2,2.5,일반
강릉중소일반산업단지,2,4,4,2,3,일반
강진환경산업단지,2,2,2,2,2,일반
강화일반산업단지,2,2,2,2,2,일반
강화하점일반산업단지,2,3,2,2,2.2,일반
거제모사일반산업단지,3,2,2,3,2.5,일반
거제오비일반산업단지,2,3,2,2,2.2,일반
거창일반산업단지,1,2,1,2,1.4,일반
경북바이오일반산업단지,2,2,2,2,2,일반
경산제1일반산업단지,2,2,3,2,2.3,일반
경산제2일반산업단지,3,2,2,2,2.3,일반
경산제3일반산업단지,2,2,2,2,2,일반
경주강동일반산업단지,2,2,2,2,2,일반
경주건천용명일반산업단지,2,2,2,2,2,일반
경주건천제1일반산업단지,2,2,3,2,2.3,일반
