complex_name,food,clothing,wood,petrochemical,non_metal,metal,machinery,electronics,trans,other,non_manu
GW일반산업단지,0,0.054022222,0.241539106,0.118229271,0,0.123677139,0.291314225,0.043017132,0.426643042,0.062195531,0.087112558
I-Food Park일반산업단지,0.783396266,0,0,0,0,0,0,0,0,0,0.037517336
KCC울산일반산업단지,0.06127541,0,0.196301612,0,0.398326699,0,0.282291712,0.242782507,0.366076693,0,0.306888402
가평목동일반산업단지,0.203552505,0,0,0.118229271,0,0,0.130607889,0.14289982,0,0,0
강릉과학일반산업단지,0.601441633,0.054022222,0,0.518156239,0.732806668,0.053264845,0.261780184,0.336401672,0.133699851,0.062195531,0.260022805
강릉중소일반산업단지,0.06127541,0,0.196301612,0,0,0,0.314756278,0.14289982,0.133699851,0,0.176347979
강진환경산업단지,0.203552505,0,0,0.239339694,0.196765836,0.053264845,0.091290997,0.099882688,0.057581392,0,0
강화일반산업단지,0.203552505,0.125435715,0.307840526,0.365590742,0.196765836,0.053264845,0.393224289,0.273483655,0,0,0.153350719
강화하점일반산업단지,0,0.179457937,0.059092673,0.208127785,0,0,0,0.043017132,0.057581392,0,0
거제모사일반산업단지,0,0,0,0,0,0,0,0,0.057581392,0,0
거제오비일반산업단지,0,0,0,0,0,0,0,0,0.191281243,0,0
거창일반산업단지,0.439951871,0,0.241539106,0,0,0.176941984,0.378092815,0,0.057581392,0,0.124629894
경북바이오일반산업단지,0.546689459,0,0,0.287377117,0.084742433,0,0.160706336,0,0,0,0.176347979
경산제1일반산업단지,0.06127541,0.575053459,0.277761549,0.484324894,0.196765836,0.300619123,0.450428253,0.259064992,0.581002716,0.414110999,0.176347979
경산제2일반산업단지,0.369023055,0.513846014,0,0.365590742,0,0.123677139,0.282291712,0.286417163,0.383389084,0.206609082,0.124629894
경산제3일반산업단지,0,0.054022222,0,0.208127785,0,0,0.409680452,0.043017132,0.581002716,0.062195531,0.087112558
경주강동일반산업단지,0.06127541,0,0.307840526,0.265257944,0.398326699,0.405987406,0.446066076,0,0.383389084,0,0.293392286
경주건천용명일반산업단지,0,0,0,0.239339694,0,0,0.091290997,0.043017132,0.133699851,0,0.087112558
경주건천제1일반산업단지,0,0,0,0,0,0.053264845,0,0.099882688,0.133699851,0,0.087112558
경주건천제2일반산업단지,0,0,0,0.208127785,0,0.176941984,0.204819517,0,0.270657861,0,0.195444815
경주검단일반산업단지,0.06127541,0,0,0,0,0,0.039316892,0.043017132,0,0,0.153350719
경주구어제2일반산업단지,0,0,0,0,0,0.053264845,0.403381221,0,0.553734267,0,0.249798361
경주녹동일반산업단지,0,0,0,0,0,0,0.249959187,0,0.438888352,0,0.087112558
경주모화일반산업단지,0,0,0,0,0,0.250368191,0.334187525,0.14289982,0.534932215,0,0.2259432
경주문산일반산업단지,0,0,0,0,0,0,0.321608605,0,0.399081502,0,0.153350719
경주문산제2일반산업단지,0,0,0,0.239339694,0,0,0.439191352,0.286417163,0.575895004,0,0.324429608
경주석계일반산업단지,0,0,0,0.239339694,0,0.123677139,0.249959187,0,0.270657861,0,0.249798361
경주석계제2일반산업단지,0,0,0,0,0,0.176941984,0.221898886,0,0.133699851,0,0.087112558
경주석계제4일반산업단지,0,0,0,0,0,0,0.261780184,0,0.191281243,0,0.037517336
경주외동일반산업단지,0,0.054022222,0,0.050918575,0,0,0.130607889,0.043017132,0.460975004,0,0.087112558
경주외동제2일반산업단지,0,0,0,0,0,0.053264845,0.204819517,0,0.450296789,0,0.195444815
경주제내제2일반산업단지,0,0,0,0,0,0,0.160706336,0,0.133699851,0,0.211742452
경주천북일반산업단지,0.06127541,0,0.277761549,0.239339694,0.478274106,0.320780486,0.409680452,0.043017132,0.399081502,0,0.324429608
경주천북제2일반산업단지,0,0,0,0,0,0,0,0,0.057581392,0,0
경주화산일반산업단지,0,0,0.059092673,0,0,0,0.160706336,0,0.299967575,0,0.124629894
계룡제1산업단지,0.454013466,0,0,0,0,0,0.204819517,0.099882688,0.057581392,0,0
고덕국제화계획지구일반산업단지,0,0,0,0.050918575,0,0,0,0.043017132,0,0,0.037517336
고령개진일반산업단지,0.389561604,0.281426247,0.196301612,0.239339694,0,0,0.091290997,0.043017132,0.057581392,0,0
고령제1일반산업단지,0,0,0,0,0.398326699,0.57078405,0.282291712,0,0.191281243,0,0.037517336
고령제2일반산업단지,0,0.054022222,0.059092673,0.323717491,0.196765836,0.3546486,0.328071783,0,0.270657861,0,0.195444815
고성내산일반산업단지,0,0,0,0,0,0,0,0,0.057581392,0,0
고성대가룡일반산업단지,0,0,0,0,0,0,0.039316892,0,0,0,0.087112558
고성대독일반산업단지,0,0,0,0,0,0,0,0,0.057581392,0,0.037517336
고성율대일반산업단지,0,0,0,0,0,0,0.091290997,0,0.057581392,0,0.037517336
고성장좌일반산업단지,0,0,0,0,0,0,0,0,0.057581392,0,0
고창일반산업단지,0.142277095,0,0,0,0.084742433,0,0,0,0,0,0
공주유구자카드일반산업단지,0.06127541,0.359691379,0,0,0,0,0.039316892,0,0,0,0.037517336
