complex_name,manpower
GW일반산업단지,0.146801128
I-Food Park일반산업단지,0.484921638
KCC울산일반산업단지,0.178055965
가평목동일반산업단지,0.024415711
강릉과학일반산업단지,0.144189929
강릉중소일반산업단지,0.144189929
강진환경산업단지,0.002660923
강화일반산업단지,0.033147176
강화하점일반산업단지,0.033147176
거제모사일반산업단지,0.16761827
거제오비일반산업단지,0.16761827
거창일반산업단지,0.026995655
경북바이오일반산업단지,0.103023046
경산제1일반산업단지,0.19877366
경산제2일반산업단지,0.19877366
경산제3일반산업단지,0.19877366
경주강동일반산업단지,0.176348315
경주건천용명일반산업단지,0.176348315
경주건천제1일반산업단지,0.176348315
경주건천제2일반산업단지,0.176348315
경주검단일반산업단지,0.176348315
경주구어제2일반산업단지,0.176348315
경주녹동일반산업단지,0.176348315
경주모화일반산업단지,0.176348315
경주문산일반산업단지,0.176348315
경주문산제2일반산업단지,0.176348315
경주석계일반산업단지,0.176348315
경주석계제2일반산업단지,0.176348315
경주석계제4일반산업단지,0.176348315
경주외동일반산업단지,0.176348315
경주외동제2일반산업단지,0.176348315
경주제내제2일반산업단지,0.176348315
경주천북일반산업단지,0.176348315
경주천북제2일반산업단지,0.176348315
경주화산일반산업단지,0.176348315
계룡제1산업단지,0.003905434
고덕국제화계획지구일반산업단지,0.477924816
고령개진일반산업단지,0.003841504
고령제1일반산업단지,0.003841504
고령제2일반산업단지,0.003841504
고성내산일반산업단지,0.020409409
고성대가룡일반산업단지,0.020409409
고성대독일반산업단지,0.020409409
고성율대일반산업단지,0.020409409
고성장좌일반산업단지,0.020409409
고창일반산업단지,0.020910907
공주유구자카드일반산업단지,0.064115036
공주탄천일반산업단지,0.064115036
관리일반산업단지,0.166187651
광명일반산업단지,0.345428459
광양세풍일반산업단지,0.098373179
광양신금일반산업단지,0.098373179
광양익신일반산업단지,0.098373179
광양황금일반산업단지,0.098373179
광주본촌일반산업단지,0.303075313
광주소촌일반산업단지,0.301654639
광주송암일반산업단지,0.135435733
광주첨단과학국가산업단지,0.303075313
