complex_name,complex_group,airport_name,airport_distance,seaport_name,seaport_distance,highway_name,highway_distance,station_name,station_distance
서울디지털국가산업단지,국가,김포국제공항,17,인천항,37,"금천IC, 광명IC, 양제IC, 상일IC","3.6, 12, 20, 35","광명역, 영등포역","3,3"
한국수출산업(부평)국가산업단지,국가,"김포국제공항, 인천국제공항","18, 45",인천항,19,"부평IC, 계양IC","4.9, 16",광명역,30
한국수출산업(주안)국가산업단지,국가,군산공항,59,군산항,59,익산IC,3.6,익산역,12
명지녹산국가산업단지,국가,군산공항,59,군산항,59,익산IC,3.6,익산역,12
대구국가산업단지,국가,군산공항,14,군산항,2.5,"동군산IC, 군산IC, 동서천IC","26, 29, 39",옥구역,16
남동국가산업단지,국가,"김포국제공항, 인천국제공항","25, 32","인천 신항, 인천항","8.8, 15","남동IC, 문학 IC","7, 9",광명역,25
광주첨단과학국가산업단지,국가,"김포국제공항, 인천국제공항","25, 32","인천 신항, 인천항","8.8, 15","남동IC, 문학 IC","7, 9",광명역,25
빛그린국가산업단지,국가,대구국제공항,52,마산항,68,현풍IC,"0.5, 2",남성현역,42
온산국가산업단지,국가,무안국제공항,35,목포신항 목포항,"11, 13","서영암IC, 일로IC, 무안IC","17, 18, 35","대불역,  목포역 ","2.1,  12"
울산미포국가산업단지,국가,무안국제공항,35,목포신항 목포항,"11, 13","서영암IC, 일로IC, 무안IC","17, 18, 35","대불역,  목포역 ","2.1,  12"
반월국가산업단지,국가,"김포국제공항, 인천국제공항","30, 42",인천항,40,"남안산IC, 시화IC","3.9, 5.0",광명역,21
시화국가산업단지,국가,"김포국제공항, 인천국제공항","43, 50",인천항,32,"남안산IC, 시화IC","5.3, 6.9",광명역,24
아산국가산업단지,국가,"사천공항, 김해국제공항","59, 65",밀양항,59,"밀양IC, 밀양IC","9.3, 9.3",경부선 밀양역,10
파주탄현중소기업전용국가산업단지,국가,"김포국제공항, 인천국제공항","43, 50",인천항,32,"남안산IC, 시화IC","5.3, 6.9",광명역,24
동두천국가산업단지,국가,양양국제공항,92,동해항,1.5,북평IC,1.8,영동선동해역,2
북평국가산업단지,국가,무안국제공항,41,목포항,69,나주 IC,9.3,광주송정역,16
오송생명과학단지,국가,김포국제공항,17,인천항,37,"금천IC, 광명IC, 양제IC, 상일IC","3.6, 12, 20, 35","광명역, 영등포역","3,3"
석문국가산업단지,국가,청주국제공항,107,평택-당진항,47,송악IC,25,천안역,73
장항국가생태산업단지,국가,"김포국제공항, 인천국제공항","30, 42",인천항,40,"남안산IC, 시화IC","3.9, 5.0",광명역,21
군산2국가산업단지,국가,청주국제공항,80,평택항,3.7,"서평택IC, 송악IC","1, 13","평택역, 천안역","27, 40"
군산국가산업단지,국가,"대구국제공항, 김해국제공항","50, 100",남포항,12,동고성IC,4.9,"진주, 마산","46, 52"
익산국가산업단지,국가,여수공항 ,20,여수항,11,순천IC,30,"여천역, 덕양역 ","6, 13.2"
국가식품클러스터국가산업단지,국가,청주국제공항,17,평택-당진항,64,"청주IC, 서청주IC","7.4, 13","오송역, 조치원역","2.7, 7.3"
국가식품클러스터식품산업단지중소협력단지형외국인투자지역,국가,울산공항,21,온산항,2.7,"청량IC, 온양IC","12, 10",온산역,0.867
대불국가산업단지,국가,울산공항,12,"울산항, 미포항","5.6, 52",청량IC,12,울산역,37
대불외국인투자지역,국가,군산공항,38,군산항,42,"삼례IC, 전주IC","16, 17","익산역, 동익산역 ","3.9, 4,4"
여수국가산업단지,국가,군산공항,32,군산항,14,동서천IC,8,장항역,3
구미국가산업단지,국가,"사천공항, 김해국제공항",40,부산신항,17,"대청IC, 진해IC","15, 9.5","진해선 경화역, 부산신항역, 창원중앙역","7.6, 14.5, 18"
포항국가산업단지,국가,"대구국제공항, 김해국제공항","100,36",마산항,10,동마산IC,11,"진해선 , 경전선","0, 8.3"
포항블루밸리국가산업단지,국가,김포국제공항,45,인천항,72,"낙하IC, 월롱IC","14, 7.6",문산역,8.3
안정국가산업단지,국가,포항경주공항,5,포항항,8.3,포항IC,10,포항역,5
진해국가산업단지,국가,포항경주공항,11,포항항,24,포항IC,34,괴동선 괴동역,13
창원국가산업단지,국가,김해국제공항,38,진해항,7.7,완암IC,1.5,신창원역,3.8
밀양나노융합국가산업단지,국가,"김포국제공항, 인천국제공항","27, 36",인천항,10,"가좌IC, 도화IC","3, 13",광명역,28
GW일반산업단지,일반,울산공항,22.4,온산항,13.7,온양IC,4.6,울산역 (고속철도),29
I-Food Park일반산업단지,일반,김포국제공항국제선청사,22,대명포구,11,검단.양촌IC,1.9,경주역 (고속철도),18
